Middle-aged, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,Full-time, United-States, <=50K
Young, Local-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,Over-time, United-States, <=50K
Young, Private, Some-college, Never-married, Sales, Own-child, Black, Male,Over-time, United-States, <=50K
Middle-aged, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Male,Full-time, United-States, <=50K
Young, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,Part-time, United-States, <=50K
Senior, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Male,Full-time, Puerto-Rico, <=50K
Young, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,Full-time, United-States, <=50K
Young, Private, HS-grad, Married-AF-spouse, Adm-clerical, Wife, White, Female,Part-time, United-States, <=50K
Senior, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Over-time, United-States, <=50K
Senior, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, United-States, <=50K
Young, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,Over-time, United-States, <=50K
Senior, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,Full-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,Full-time, United-States, <=50K
Senior, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,Full-time, United-States, >50K
Senior, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,Full-time, United-States, <=50K
Middle-aged, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,Over-time, United-States, <=50K
Young, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female,Full-time, United-States, <=50K
Senior, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,Over-time, Honduras, >50K
Senior, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,Over-time, United-States, >50K
Senior, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,Full-time, United-States, >50K
Senior, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Full-time, Mexico, <=50K
Middle-aged, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,Full-time, Puerto-Rico, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Full-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,Full-time, United-States, >50K
Senior, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Young, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Separated, Sales, Own-child, Black, Female,Full-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Too-much, United-States, >50K
Young, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,Full-time, United-States, <=50K
Old, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,Part-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,Full-time, Mexico, <=50K
Middle-aged, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,Full-time, United-States, <=50K
Young, Private, 11th, Never-married, Other-service, Own-child, White, Female,Part-time, United-States, <=50K
Middle-aged, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,Full-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,Full-time, United-States, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,Full-time, Cuba, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,Full-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,Full-time, United-States, >50K
Senior, Private, HS-grad, Divorced, Sales, Own-child, White, Female,Full-time, United-States, <=50K
Senior, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, 9th, Never-married, Sales, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,Over-time, United-States, >50K
Senior, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female,Part-time, United-States, <=50K
Middle-aged, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,Over-time, United-States, <=50K
Senior, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, >50K
Senior, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female,Full-time, England, <=50K
Middle-aged, Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male,Full-time, United-States, <=50K
Old, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Senior, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,Over-time, United-States, <=50K
Young, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Full-time, United-States, <=50K
Young, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, United-States, >50K
Senior, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,Over-time, Canada, >50K
Middle-aged, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,Part-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,Full-time, United-States, <=50K
Senior, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Over-time, United-States, <=50K
Senior, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, <=50K
Senior, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,Full-time, United-States, >50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,Over-time, United-States, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,Full-time, Germany, <=50K
Middle-aged, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Over-time, United-States, >50K
Young, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,Full-time, United-States, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,Full-time, United-States, >50K
Young, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,Over-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, <=50K
Senior, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female,Full-time, United-States, <=50K
Middle-aged, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, Iran, >50K
Middle-aged, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,Full-time, United-States, <=50K
Young, Private, Some-college, Never-married, Sales, Own-child, White, Male,Part-time, United-States, <=50K
Senior, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,Full-time, United-States, >50K
Senior, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Never-married, Sales, Own-child, White, Female,Full-time, United-States, <=50K
Young, Private, Some-college, Never-married, Other-service, Own-child, White, Male,Full-time, Mexico, <=50K
Middle-aged, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,Full-time, United-States, >50K
Old, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,Full-time, United-States, <=50K
Young, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,Part-time, United-States, <=50K
Middle-aged, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female,Part-time, United-States, <=50K
Senior, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Senior, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,Full-time, Mexico, <=50K
Middle-aged, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,Full-time, Philippines, <=50K
Young, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,Full-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Over-time, United-States, <=50K
Young, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,Full-time, United-States, <=50K
Old, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male,Part-time, United-States, <=50K
Middle-aged, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, Bachelors, Separated, Other-service, Other-relative, Black, Male,Over-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,Full-time, United-States, <=50K
Middle-aged, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,Full-time, England, <=50K
Middle-aged, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,Full-time, Mexico, <=50K
Middle-aged, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male,Over-time, United-States, <=50K
Senior, State-gov, Masters, Widowed, Protective-serv, Unmarried, White, Male,Full-time, United-States, <=50K
Young, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,Part-time, United-States, <=50K
Old, Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,Part-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,Full-time, United-States, <=50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,Over-time, United-States, <=50K
Middle-aged, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female,Part-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,Full-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,Part-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Too-much, United-States, <=50K
Middle-aged, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Full-time, United-States, >50K
Middle-aged, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,Over-time, United-States, <=50K
Middle-aged, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Full-time, Mexico, >50K
Middle-aged, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,Full-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,Over-time, United-States, <=50K
Senior, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,Part-time, United-States, >50K
Middle-aged, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female,Full-time, United-States, <=50K
Young, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,Full-time, United-States, <=50K
Senior, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,Part-time, United-States, <=50K
Young, Private, 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, White, Male,Full-time, Mexico, <=50K
Middle-aged, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,Over-time, United-States, >50K
Middle-aged, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,Full-time, United-States, >50K
Young, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,Full-time, United-States, <=50K
Senior, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,Full-time, United-States, <=50K
Young, Private, 11th, Never-married, Sales, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,Full-time, United-States, >50K
Middle-aged, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,Over-time, United-States, <=50K
Senior, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,Full-time, United-States, >50K
Young, Private, 11th, Never-married, Sales, Own-child, White, Female,Part-time, United-States, <=50K
Middle-aged, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,Full-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,Full-time, United-States, <=50K
Senior, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,Over-time, United-States, >50K
Senior, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,Over-time, Poland, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Over-time, United-States, <=50K
Young, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,Full-time, United-States, <=50K
Old, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,Full-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,Part-time, United-States, <=50K
Senior, Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female,Full-time, United-States, <=50K
Young, Private, HS-grad, Never-married, Sales, Own-child, White, Female,Full-time, United-States, <=50K
Old, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,Over-time, United-States, <=50K
Old, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female,Part-time, Columbia, <=50K
Senior, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, 11th, Separated, Transport-moving, Not-in-family, Black, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,Full-time, United-States, <=50K
Young, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Female,Full-time, United-States, <=50K
Middle-aged, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,Over-time, United-States, >50K
Senior, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,Over-time, Iran, >50K
Middle-aged, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,Too-much, United-States, >50K
Young, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,Part-time, United-States, <=50K
Young, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,Over-time, United-States, <=50K
Middle-aged, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,Full-time, United-States, <=50K
Senior, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male,Over-time, United-States, >50K
Middle-aged, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female,Full-time, United-States, >50K
Middle-aged, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female,Full-time, United-States, <=50K
Senior, Local-gov, 10th, Widowed, Other-service, Unmarried, Black, Female,Full-time, United-States, <=50K
Young, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,Full-time, United-States, <=50K
Senior, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,Part-time, United-States, <=50K
Middle-aged, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,Full-time, Cambodia, >50K
Young, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female,Over-time, United-States, <=50K
Senior, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,Over-time, United-States, <=50K
Young, Private, 11th, Never-married, Other-service, Own-child, White, Male,Part-time, United-States, <=50K
Senior, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,Full-time, United-States, <=50K
Middle-aged, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,Too-much, Thailand, >50K
Senior, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Full-time, United-States, >50K
Middle-aged, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,Over-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female,Full-time, United-States, >50K
Senior, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,Full-time, United-States, >50K
Young, Private, 9th, Never-married, Other-service, Own-child, White, Male,Part-time, United-States, <=50K
Senior, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,Too-much, United-States, <=50K
Middle-aged, Local-gov, Masters, Never-married, Prof-specialty, Own-child, White, Male,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Female,Full-time, United-States, <=50K
Middle-aged, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,Full-time, United-States, <=50K
